#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1332690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1334190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1335690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1337190 350 9.9e-324  0 0 0 0 0 0 0 1e+02 
482290 1338690 350 2.3e-322  0 0 0 0 0 0 0 1e+02 
482290 1340190 350 4.7e-321  0 0 0 0 0 0 0 1e+02 
482290 1341690 350 8.4e-320  0 0 0 0 0 0 0 1e+02 
482290 1343190 350 1.2e-318  0 0 0 0 0 0 0 1e+02 
482290 1344690 350 1.5e-317  0 0 0 0 0 0 0 1e+02 
482290 1346190 350 1.5e-316  0 0 0 0 0 0 0 1e+02 
482290 1347690 350 1.1e-315  0 0 0 0 0 0 0 1e+02 
482290 1349190 350 6.2e-315  0 0 0 0 0 0 0 1e+02 
482290 1350690 350 2.6e-314  0 0 0 0 0 0 0 1e+02 
482290 1352190 350 8.1e-314  0 0 0 0 0 0 0 1e+02 
482290 1353690 350 1.8e-313  0 0 0 0 0 0 0 1e+02 
482290 1355190 350 2.8e-313  0 0 0 0 0 0 0 1e+02 
482290 1356690 350 3.2e-313  0 0 0 0 0 0 0 1e+02 
482290 1358190 350 2.5e-313  0 0 0 0 0 0 0 1e+02 
482290 1359690 350 1.4e-313  0 0 0 0 0 0 0 1e+02 
482290 1361190 350 5.6e-314  0 0 0 0 0 0 0 1e+02 
482290 1362690 350 1.6e-314  0 0 0 0 0 0 0 1e+02 
482290 1364190 350 3.1e-315  0 0 0 0 0 0 0 1e+02 
482290 1365690 350 4.3e-316  0 0 0 0 0 0 0 1e+02 
482290 1367190 350 4.3e-317  0 0 0 0 0 0 0 1e+02 
482290 1368690 350 3e-318  0 0 0 0 0 0 0 1e+02 
482290 1370190 350 1.5e-319  0 0 0 0 0 0 0 1e+02 
482290 1371690 350 5.1e-321  0 0 0 0 0 0 0 1e+02 
482290 1373190 350 1.2e-322  0 0 0 0 0 0 0 1e+02 
482290 1374690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1376190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1377690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1379190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1380690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1382190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1383690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1385190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1386690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1388190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1389690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1391190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1392690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1394190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1395690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1397190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1398690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1400190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1401690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1403190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1404690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1406190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1407690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1409190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
