#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1332690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1334190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1335690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1337190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1338690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1340190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1341690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1343190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1344690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1346190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1347690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1349190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1350690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1352190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1353690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1355190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1356690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1358190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1359690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1361190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1362690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1364190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1365690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1367190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1368690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1370190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1371690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1373190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1374690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1376190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1377690 350 1.5e-321  0 0 0 0 0 0 0 1e+02 
482290 1379190 350 2.7e-317  0 0 0 0 0 0 0 1e+02 
482290 1380690 350 3.4e-313  0 0 0 0 0 0 0 1e+02 
482290 1382190 350 2.8e-309  0 0 0 0 0 0 0 1e+02 
482290 1383690 350 1.7e-305  0 0 0 0 0 3e-16 1.8e-13 1e+02 
482290 1385190 350 6.7e-302  0 0 0 0 0 3.6e-16 2.8e-13 1e+02 
482290 1386690 350 1.9e-298  0 0 0 0 0 4.1e-16 4.1e-13 1e+02 
482290 1388190 350 3.6e-295  0 0 0 0 0 4.2e-16 5.7e-13 1e+02 
482290 1389690 350 4.9e-292  0 0 0 0 0 3.8e-16 7.5e-13 1e+02 
482290 1391190 350 4.6e-289  0 0 0 0 0 3e-16 9.6e-13 1e+02 
482290 1392690 350 3.1e-286  0 0 0 0 0 2e-16 1.2e-12 1e+02 
482290 1394190 350 1.4e-283  0 0 0 0 0 1.2e-16 1.4e-12 1e+02 
482290 1395690 350 4.7e-281  0 0 0 0 0 6.3e-17 1.6e-12 1e+02 
482290 1397190 350 1.1e-278  0 0 0 0 0 2.9e-17 1.7e-12 1e+02 
482290 1398690 350 1.8e-276  0 0 0 0 0 1.1e-17 1.9e-12 1e+02 
482290 1400190 350 2.2e-274  0 0 0 0 0 3.8e-18 2e-12 1e+02 
482290 1401690 350 1.8e-272  0 0 0 0 0 1.1e-18 2.2e-12 1e+02 
482290 1403190 350 1e-270  0 0 0 0 0 2.8e-19 2.5e-12 1e+02 
