#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1332690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1334190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1335690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1337190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1338690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1340190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1341690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1343190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1344690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1346190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1347690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1349190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1350690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
482290 1352190 350 1.3e-322  0 0 0 0 0 0 0 1e+02 
482290 1353690 350 3.3e-314  0 0 0 0 0 0 0 1e+02 
482290 1355190 350 5.9e-306  0 0 0 0 0 0 2.5e-14 1e+02 
482290 1356690 350 7.5e-298  0 0 0 0 0 1.8e-23 6.4e-14 1e+02 
482290 1358190 350 6.7e-290  0 0 0 0 0 3.3e-22 1.7e-13 1e+02 
482290 1359690 350 4.2e-282  0 0 0 0 0 4.9e-21 4.9e-13 1e+02 
482290 1361190 350 1.9e-274  0 0 0 0 0 6.3e-20 1.4e-12 1e+02 
482290 1362690 350 5.9e-267  0 0 0 0 0 7.1e-19 4.3e-12 1e+02 
482290 1364190 350 1.3e-259  0 0 0 0 0 7e-18 1.3e-11 1e+02 
482290 1365690 350 2e-252  0 0 0 0 0 6e-17 3.9e-11 1e+02 
482290 1367190 350 2.2e-245  0 0 0 0 1.5e-76 4.5e-16 1.2e-10 1e+02 
482290 1368690 350 1.7e-238  0 0 0 0 2.3e-74 2.9e-15 3.5e-10 1e+02 
482290 1370190 350 9.7e-232  0 0 0 0 2.1e-72 1.6e-14 9.9e-10 1e+02 
482290 1371690 350 3.8e-225  0 0 0 0 1.2e-70 7.8e-14 2.7e-09 1e+02 
482290 1373190 350 1.1e-218  0 0 0 0 3.8e-69 3.3e-13 7.2e-09 1e+02 
482290 1374690 350 2.1e-212  0 0 0 0 7.4e-68 1.2e-12 1.8e-08 1e+02 
482290 1376190 350 2.8e-206  0 0 0 0 8.8e-67 3.8e-12 4.4e-08 1e+02 
482290 1377690 350 2.7e-200  0 0 0 0 6.4e-66 1.1e-11 1e-07 1e+02 
482290 1379190 350 1.8e-194  0 0 0 0 2.8e-65 2.6e-11 2.2e-07 1e+02 
482290 1380690 350 8.5e-189  0 0 0 0 7.5e-65 5.7e-11 4.8e-07 1e+02 
482290 1382190 350 2.7e-183  0 0 0 0 1.2e-64 1.1e-10 9.8e-07 1e+02 
482290 1383690 350 6e-178  0 0 0 0 1.2e-64 1.9e-10 1.9e-06 1e+02 
482290 1385190 350 9.1e-173  0 0 0 0 7.7e-65 2.9e-10 3.7e-06 1e+02 
482290 1386690 350 9.6e-168  0 0 0 0 2.9e-65 3.9e-10 6.9e-06 1e+02 
482290 1388190 350 7e-163  0 0 0 0 6.8e-66 4.6e-10 1.2e-05 1e+02 
482290 1389690 350 3.5e-158  0 0 0 0 9.6e-67 4.9e-10 2.1e-05 1e+02 
482290 1391190 350 1.3e-153  0 0 0 0 8.2e-68 4.5e-10 3.6e-05 1e+02 
482290 1392690 350 3.1e-149  0 0 0 0 4.3e-69 3.6e-10 5.8e-05 1e+02 
482290 1394190 350 5.5e-145  0 0 0 0 1.3e-70 2.5e-10 9.3e-05 1e+02 
