#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
532315 1382690 300 0.084  87 12 0.46 0.0036 1.7e-06 4.2e-15 9.7e-31 9.7e-60 
532345 1382690 300 0.062  87 12 0.45 0.0036 1.7e-06 4.1e-15 9.5e-31 9.5e-60 
532380 1382690 300 0.043  87 12 0.44 0.0035 1.7e-06 4e-15 9.3e-31 9.3e-60 
532420 1382690 300 0.027  87 12 0.44 0.0035 1.6e-06 4e-15 9.2e-31 9.2e-60 
532465 1382690 300 0.017  87 12 0.44 0.0035 1.6e-06 4e-15 9.2e-31 9.2e-60 
532515 1382690 300 0.0092  87 12 0.44 0.0035 1.6e-06 4e-15 9.3e-31 9.4e-60 
532570 1382690 300 0.0048  88 12 0.44 0.0035 1.7e-06 4.2e-15 9.7e-31 9.8e-60 
532630 1382690 300 0.0023  88 12 0.45 0.0036 1.7e-06 4.4e-15 1e-30 1e-59 
532695 1382690 300 0.00098  87 12 0.46 0.0038 1.8e-06 4.7e-15 1.1e-30 1.1e-59 
532765 1382690 300 0.00039  88 12 0.47 0.004 2e-06 5.2e-15 1.3e-30 1.3e-59 
532840 1382690 300 0.00014  88 12 0.48 0.0043 2.1e-06 5.9e-15 1.5e-30 1.5e-59 
532920 1382690 300 4.7e-05  88 12 0.49 0.0046 2.4e-06 6.8e-15 1.7e-30 1.9e-59 
533005 1382690 300 1.4e-05  89 11 0.48 0.0048 2.6e-06 7.9e-15 2.1e-30 2.3e-59 
533095 1382690 300 4.2e-06  90 9.4 0.45 0.0047 2.7e-06 8.8e-15 2.4e-30 2.7e-59 
533190 1382690 300 1.2e-06  92 7.3 0.37 0.0043 2.6e-06 9.3e-15 2.7e-30 3.1e-59 
533290 1382690 300 3.7e-07  95 5 0.27 0.0034 2.2e-06 8.8e-15 2.7e-30 3.2e-59 
533395 1382690 300 1.1e-07  97 3 0.16 0.0023 1.6e-06 7.4e-15 2.5e-30 3.1e-59 
533505 1382690 300 3.6e-08  98 1.7 0.087 0.0014 1.1e-06 5.6e-15 2.1e-30 2.7e-59 
533620 1382690 300 1.1e-08  99 0.94 0.04 0.00076 6.4e-07 4e-15 1.6e-30 2.2e-59 
533740 1382690 300 3.4e-09  99 0.59 0.017 0.00037 3.6e-07 2.7e-15 1.2e-30 1.8e-59 
