#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1332690 350 4.4e-20  0 0 0 0 5.1e-268 2.6e-98 2.3e-21 1e+02 
482290 1334190 350 1.7e-18  0 0 0 0 2.6e-258 6.3e-94 7.6e-20 1e+02 
482290 1335690 350 6.1e-17  0 0 0 0 6.1e-249 1e-89 2e-18 1e+02 
482290 1337190 350 2e-15  0 0 0 0 6.5e-240 1.1e-85 4.4e-17 1e+02 
482290 1338690 350 6e-14  0 0 0 0 3.2e-231 7.6e-82 7.8e-16 1e+02 
482290 1340190 350 1.6e-12  0 0 0 0 7.7e-223 3.8e-78 1.2e-14 1e+02 
482290 1341690 350 3.7e-11  0 0 0 0 9e-215 1.3e-74 1.5e-13 1e+02 
482290 1343190 350 7.2e-10  0 0 0 0 5.2e-207 3.4e-71 1.7e-12 1e+02 
482290 1344690 350 1.2e-08  0 0 0 0 1.5e-199 6.3e-68 1.7e-11 1e+02 
482290 1346190 350 1.7e-07  0 0 0 0 2.3e-192 8.5e-65 1.6e-10 1e+02 
482290 1347690 350 1.9e-06  0 0 0 0 1.7e-185 8.3e-62 1.2e-09 1e+02 
482290 1349190 350 1.9e-05  0 0 0 0 6.1e-179 5.9e-59 8.6e-09 1e+02 
482290 1350690 350 0.00016  0 0 0 0 1.1e-172 3.1e-56 5.4e-08 1e+02 
482290 1352190 350 0.0011  0 0 0 0 1.1e-166 1.2e-53 3e-07 1e+02 
482290 1353690 350 0.0064  0 0 0 0 5.3e-161 3.5e-51 1.6e-06 1e+02 
482290 1355190 350 0.029  0 0 0 0 1.4e-155 7.7e-49 7.4e-06 1e+02 
482290 1356690 350 0.11  0 0 0 0 1.9e-150 1.3e-46 3.3e-05 1e+02 
482290 1358190 350 0.3  0 0 0 0 1.4e-145 1.8e-44 0.00014 1e+02 
482290 1359690 350 0.68  0 0 0 1.3e-314 5.7e-141 1.8e-42 0.00058 1e+02 
482290 1361190 350 1.2  0 0 0 2.3e-306 1.3e-136 1.5e-40 0.0023 1e+02 
482290 1362690 350 1.6  0 0 0 1.2e-298 1.5e-132 1e-38 0.0086 1e+02 
482290 1364190 350 1.6  0 0 0 1.8e-291 9.9e-129 5.3e-37 0.031 1e+02 
