#Easting Northing Mass/Area
482290 1332690 0
482290 1334190 0
482290 1335690 0
482290 1337190 0
482290 1338690 0
482290 1340190 0
482290 1341690 0
482290 1343190 0
482290 1344690 0
482290 1346190 0
482290 1347690 0
482290 1349190 0
482290 1350690 0
482290 1352190 0
482290 1353690 0
482290 1355190 0
482290 1356690 0
482290 1358190 0
482290 1359690 0
482290 1361190 0
482290 1362690 0
482290 1364190 0
482290 1365690 0
482290 1367190 0
482290 1368690 0
482290 1370190 0
482290 1371690 0
482290 1373190 0
482290 1374690 0
482290 1376190 0
482290 1377690 1.5e-321
482290 1379190 2.7e-317
482290 1380690 3.4e-313
482290 1382190 2.8e-309
482290 1383690 1.7e-305
482290 1385190 6.7e-302
482290 1386690 1.9e-298
482290 1388190 3.6e-295
482290 1389690 4.9e-292
482290 1391190 4.6e-289
482290 1392690 3.1e-286
482290 1394190 1.4e-283
482290 1395690 4.7e-281
482290 1397190 1.1e-278
482290 1398690 1.8e-276
482290 1400190 2.2e-274
482290 1401690 1.8e-272
482290 1403190 1e-270
482290 1404690 4.3e-269
482290 1406190 1.3e-267
482290 1407690 2.6e-266
482290 1409190 3.9e-265
482290 1410690 4.1e-264
482290 1412190 3.1e-263
482290 1413690 1.7e-262
482290 1415190 7e-262
482290 1416690 2.2e-261
482290 1418190 5.1e-261
482290 1419690 9.5e-261
482290 1421190 1.4e-260
482290 1422690 1.8e-260
482290 1424190 1.9e-260
482290 1425690 1.7e-260
482290 1427190 1.3e-260
482290 1428690 8.9e-261
482290 1430190 5.2e-261
482290 1431690 2.7e-261
483790 1332690 0
483790 1334190 0
483790 1335690 0
483790 1337190 0
483790 1338690 0
483790 1340190 0
483790 1341690 0
483790 1343190 0
483790 1344690 0
483790 1346190 0
483790 1347690 0
483790 1349190 0
483790 1350690 0
483790 1352190 0
483790 1353690 0
483790 1355190 0
483790 1356690 0
483790 1358190 0
483790 1359690 0
483790 1361190 0
483790 1362690 0
483790 1364190 0
483790 1365690 0
483790 1367190 0
483790 1368690 0
483790 1370190 0
483790 1371690 0
483790 1373190 0
483790 1374690 2.1e-321
483790 1376190 8.5e-317
483790 1377690 2.3e-312
483790 1379190 4.4e-308
483790 1380690 5.5e-304
483790 1382190 4.8e-300
483790 1383690 2.8e-296
483790 1385190 1.1e-292
483790 1386690 3e-289
483790 1388190 5.4e-286
483790 1389690 6.8e-283
483790 1391190 5.9e-280
483790 1392690 3.5e-277
483790 1394190 1.5e-274
483790 1395690 4.5e-272
483790 1397190 9.6e-270
483790 1398690 1.5e-267
483790 1400190 1.7e-265
483790 1401690 1.3e-263
483790 1403190 7.5e-262
483790 1404690 3.1e-260
483790 1406190 8.8e-259
483790 1407690 1.8e-257
483790 1409190 2.6e-256
483790 1410690 2.7e-255
483790 1412190 2e-254
483790 1413690 1e-253
483790 1415190 4e-253
483790 1416690 1.1e-252
483790 1418190 2.5e-252
483790 1419690 4.1e-252
483790 1421190 5.4e-252
483790 1422690 5.8e-252
483790 1424190 5.3e-252
483790 1425690 4e-252
483790 1427190 2.7e-252
483790 1428690 1.5e-252
483790 1430190 7.7e-253
483790 1431690 3.4e-253
485290 1332690 0
485290 1334190 0
485290 1335690 0
485290 1337190 0
485290 1338690 0
485290 1340190 0
485290 1341690 0
485290 1343190 0
485290 1344690 0
485290 1346190 0
485290 1347690 0
485290 1349190 0
485290 1350690 0
485290 1352190 0
485290 1353690 0
485290 1355190 0
485290 1356690 0
485290 1358190 0
485290 1359690 0
485290 1361190 0
485290 1362690 0
485290 1364190 0
485290 1365690 0
485290 1367190 0
485290 1368690 0
485290 1370190 0
485290 1371690 5.7e-322
485290 1373190 5.3e-317
485290 1374690 3.3e-312
485290 1376190 1.4e-307
485290 1377690 4e-303
485290 1379190 7.8e-299
485290 1380690 1e-294
485290 1382190 8.8e-291
485290 1383690 5.1e-287
485290 1385190 2e-283
485290 1386690 5.2e-280
485290 1388190 9.2e-277
485290 1389690 1.1e-273
485290 1391190 8.7e-271
485290 1392690 4.8e-268
485290 1394190 1.8e-265
485290 1395690 4.7e-263
485290 1397190 8.6e-261
485290 1398690 1.1e-258
485290 1400190 1.1e-256
485290 1401690 7.9e-255
485290 1403190 4.2e-253
485290 1404690 1.6e-251
485290 1406190 4.5e-250
485290 1407690 8.9e-249
485290 1409190 1.3e-247
485290 1410690 1.3e-246
485290 1412190 9.2e-246
485290 1413690 4.7e-245
485290 1415190 1.7e-244
485290 1416690 4.7e-244
485290 1418190 9.4e-244
485290 1419690 1.4e-243
485290 1421190 1.7e-243
485290 1422690 1.6e-243
485290 1424190 1.2e-243
485290 1425690 8e-244
485290 1427190 4.5e-244
485290 1428690 2.2e-244
485290 1430190 9.5e-245
485290 1431690 3.6e-245
