#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1332690 350 3.5e-70  0 0 0 0 0 4.1e-95 1.4e-24 1e+02 
482290 1334190 350 2.9e-66  0 0 0 0 2e-251 2.1e-91 1.3e-23 1e+02 
482290 1335690 350 2e-62  0 0 0 0 9.9e-243 8e-88 1.1e-22 1e+02 
482290 1337190 350 1.1e-58  0 0 0 0 2.5e-234 2.3e-84 8.1e-22 1e+02 
482290 1338690 350 4.7e-55  0 0 0 0 3.4e-226 5.2e-81 5.8e-21 1e+02 
482290 1340190 350 1.6e-51  0 0 0 0 2.4e-218 9e-78 3.9e-20 1e+02 
482290 1341690 350 4.6e-48  0 0 0 0 9.3e-211 1.2e-74 2.5e-19 1e+02 
482290 1343190 350 9.9e-45  0 0 0 0 1.9e-203 1.3e-71 1.5e-18 1e+02 
482290 1344690 350 1.7e-41  0 0 0 0 2.1e-196 1e-68 9.1e-18 1e+02 
482290 1346190 350 2.3e-38  0 0 0 0 1.3e-189 6.7e-66 5.2e-17 1e+02 
482290 1347690 350 2.3e-35  0 0 0 0 4.3e-183 3.4e-63 2.9e-16 1e+02 
482290 1349190 350 1.8e-32  0 0 0 0 8e-177 1.4e-60 1.6e-15 1e+02 
482290 1350690 350 1.1e-29  0 0 0 0 8.2e-171 4.7e-58 8.9e-15 1e+02 
482290 1352190 350 5e-27  0 0 0 0 4.7e-165 1.3e-55 4.9e-14 1e+02 
482290 1353690 350 1.7e-24  0 0 0 0 1.5e-159 2.8e-53 2.7e-13 1e+02 
482290 1355190 350 4.4e-22  0 0 0 0 2.7e-154 5.1e-51 1.5e-12 1e+02 
482290 1356690 350 8.4e-20  0 0 0 0 2.8e-149 7.5e-49 8.3e-12 1e+02 
482290 1358190 350 1.2e-17  0 0 0 0 1.7e-144 9.3e-47 4.7e-11 1e+02 
482290 1359690 350 1.3e-15  0 0 0 0 5.6e-140 9.5e-45 2.7e-10 1e+02 
482290 1361190 350 9.7e-14  0 0 0 2.6e-303 1.1e-135 8.2e-43 1.6e-09 1e+02 
482290 1362690 350 5.5e-12  0 0 0 1e-295 1.2e-131 5.9e-41 9.1e-09 1e+02 
482290 1364190 350 2.3e-10  0 0 0 1.3e-288 8.2e-128 3.5e-39 5.3e-08 1e+02 
482290 1365690 350 6.8e-09  0 0 0 5.1e-282 3.1e-124 1.8e-37 3.1e-07 1e+02 
