#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
532315 1382690 300 3.4  72 25 2.8 0.13 0.00062 2.2e-09 4.3e-19 8.2e-37 
532345 1382690 300 2.8  73 24 2.7 0.12 0.00059 2.1e-09 4.1e-19 7.7e-37 
532380 1382690 300 2.2  73 24 2.6 0.11 0.00055 1.9e-09 3.8e-19 7.2e-37 
532420 1382690 300 1.7  74 24 2.5 0.11 0.00051 1.8e-09 3.5e-19 6.7e-37 
532465 1382690 300 1.2  74 23 2.4 0.099 0.00046 1.6e-09 3.2e-19 6.1e-37 
532515 1382690 300 0.88  75 23 2.3 0.09 0.00041 1.5e-09 2.9e-19 5.5e-37 
532570 1382690 300 0.61  76 22 2.1 0.08 0.00036 1.3e-09 2.6e-19 5e-37 
532630 1382690 300 0.41  76 22 2 0.07 0.00031 1.1e-09 2.3e-19 4.4e-37 
532695 1382690 300 0.27  77 21 1.8 0.06 0.00025 9.4e-10 2e-19 3.8e-37 
532765 1382690 300 0.17  78 21 1.7 0.05 0.0002 7.7e-10 1.6e-19 3.2e-37 
532840 1382690 300 0.11  78 20 1.5 0.041 0.00015 6.1e-10 1.3e-19 2.6e-37 
532920 1382690 300 0.066  79 20 1.4 0.034 0.00011 4.6e-10 1e-19 2.1e-37 
533005 1382690 300 0.04  79 20 1.3 0.028 8e-05 3.4e-10 8e-20 1.6e-37 
533095 1382690 300 0.023  79 19 1.2 0.023 5.4e-05 2.4e-10 5.9e-20 1.2e-37 
533190 1382690 300 0.013  80 19 1.2 0.02 3.6e-05 1.7e-10 4.3e-20 9.4e-38 
533290 1382690 300 0.007  80 19 1.2 0.019 2.3e-05 1.1e-10 3.1e-20 7e-38 
533395 1382690 300 0.0036  80 19 1.2 0.018 1.5e-05 7.5e-11 2.2e-20 5.2e-38 
533505 1382690 300 0.0018  79 19 1.2 0.018 1e-05 4.9e-11 1.6e-20 3.9e-38 
533620 1382690 300 0.00084  79 20 1.2 0.018 7.7e-06 3.1e-11 1.1e-20 2.8e-38 
533740 1382690 300 0.00037  79 20 1.3 0.019 6.4e-06 1.9e-11 7.5e-21 2.1e-38 
533865 1382690 300 0.00016  78 20 1.3 0.02 6.1e-06 1.1e-11 5.2e-21 1.6e-38 
533995 1382690 300 6.2e-05  78 21 1.4 0.022 6.4e-06 6.7e-12 3.5e-21 1.2e-38 
534130 1382690 300 2.3e-05  77 21 1.4 0.024 7.3e-06 3.9e-12 2.4e-21 8.7e-39 
534270 1382690 300 7.9e-06  76 22 1.6 0.028 8.7e-06 2.2e-12 1.6e-21 6.6e-39 
534415 1382690 300 2.5e-06  76 23 1.7 0.032 1.1e-05 1.3e-12 1.1e-21 5.1e-39 
534565 1382690 300 7.6e-07  74 24 1.9 0.038 1.4e-05 7.3e-13 7.7e-22 4e-39 
534720 1382690 300 2.1e-07  73 25 2.1 0.046 1.8e-05 4.4e-13 5.3e-22 3.2e-39 
534880 1382690 300 5.4e-08  71 26 2.3 0.056 2.5e-05 3.1e-13 3.6e-22 2.6e-39 
535045 1382690 300 1.3e-08  69 28 2.7 0.072 3.6e-05 2.9e-13 2.5e-22 2.1e-39 
535215 1382690 300 2.7e-09  67 30 3.1 0.094 5.2e-05 3.6e-13 1.7e-22 1.8e-39 
535390 1382690 300 5.4e-10  64 32 3.7 0.13 8e-05 5.4e-13 1.2e-22 1.6e-39 
535570 1382690 300 9.6e-11  61 34 4.4 0.18 0.00013 9.3e-13 8.5e-23 1.4e-39 
535755 1382690 300 1.6e-11  58 37 5.4 0.25 0.00021 1.7e-12 6e-23 1.3e-39 
535945 1382690 300 2.3e-12  53 40 6.6 0.37 0.00037 3.3e-12 4.3e-23 1.2e-39 
536140 1382690 300 3.1e-13  49 43 8.3 0.56 0.00066 6.7e-12 3.1e-23 1.1e-39 
536340 1382690 300 3.9e-14  43 45 10 0.87 0.0012 1.5e-11 2.2e-23 1.1e-39 
536545 1382690 300 4.3e-15  38 48 13 1.4 0.0024 3.3e-11 1.6e-23 1.1e-39 
536755 1382690 300 4.3e-16  32 50 16 2.3 0.0047 7.7e-11 1.1e-23 1.2e-39 
536970 1382690 300 4e-17  25 51 20 3.7 0.0096 1.9e-10 7.8e-24 1.2e-39 
537190 1382690 300 3.4e-18  19 50 25 6.2 0.02 4.8e-10 5.7e-24 1.3e-39 
537415 1382690 300 2.7e-19  14 46 30 10 0.041 1.2e-09 5e-24 1.3e-39 
537645 1382690 300 2e-20  9 41 34 16 0.085 3.2e-09 7.1e-24 1.3e-39 
537880 1382690 300 1.5e-21  5.3 33 36 26 0.17 8.4e-09 1.6e-23 1.3e-39 
538120 1382690 300 1e-22  2.7 24 35 38 0.33 2.1e-08 4.6e-23 1.2e-39 
538365 1382690 300 7e-24  1.2 16 30 52 0.59 5e-08 1.3e-22 1e-39 
538615 1382690 300 4.8e-25  0.46 8.8 24 66 0.97 1.1e-07 3.5e-22 7.8e-40 
538870 1382690 300 3.3e-26  0.15 4.4 17 77 1.5 2.4e-07 9.4e-22 5.6e-40 
539130 1382690 300 2.2e-27  0.041 1.9 11 85 2.2 5e-07 2.4e-21 3.8e-40 
539395 1382690 300 1.4e-28  0.0098 0.77 6.4 90 3.1 1e-06 6.3e-21 2.4e-40 
539665 1382690 300 8.3e-30  0.0021 0.28 3.5 92 4.3 2.1e-06 1.6e-20 1.5e-40 
